Issue Type,Priority,Key,Summary,Status,Assignee,Created,Description,Updated,Project,Sprint,Epic Link,Story Points
Bug - Internal Reported,System Error,ALDOT-1471,Annual Renewal Letter,Deliver to Client,Testing Team,1/21/15 12:45,"server doesn't seem to have write priveleges to the folder for annual renewal letter generation. 


ERROR - 2015-01-21 12:41:18 – Exception of type 'System.Web.HttpUnhandledException' was thrown. 
System.Web.HttpUnhandledException (0x80004005): Exception of type 'System.Web.HttpUnhandledException' was thrown. ---> System.UnauthorizedAccessException: Access to the path 'C:\inetpub\wwwroot\irims\69-01212015.pdf' is denied. 
at System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath) 
at System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost) 
at System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access) 
at PdfSharp.Pdf.PdfDocument.Save(String path) 
at BILLBOARD_ANNUAL_AnnualRenewalBillboard.btnGenerateAnnualRenewalLetter_Click(Object sender, EventArgs e) in c:\inetpub\wwwroot\irims\BILLBOARD\ANNUAL\AnnualRenewalBillboard.aspx.cs:line 791 
at System.Web.UI.WebControls.Button.OnClick(EventArgs e) 
at System.Web.UI.WebControls.Button.RaisePostBackEvent(String eventArgument) 
at System.Web.UI.WebControls.Button.System.Web.UI.IPostBackEventHandler.RaisePostBackEvent(String eventArgument) 
at System.Web.UI.Page.RaisePostBackEvent(IPostBackEventHandler sourceControl, String eventArgument) 
at System.Web.UI.Page.RaisePostBackEvent(NameValueCollection postData) 
at System.Web.UI.Page.ProcessRequestMain(Boolean includeStagesBeforeAsyncPoint, Boolean includeStagesAfterAsyncPoint) 
at System.Web.UI.Page.HandleError(Exception e) 
at System.Web.UI.Page.ProcessRequestMain(Boolean includeStagesBeforeAsyncPoint, Boolean includeStagesAfterAsyncPoint) 
at System.Web.UI.Page.ProcessRequest(Boolean includeStagesBeforeAsyncPoint, Boolean includeStagesAfterAsyncPoint) 
at System.Web.UI.Page.ProcessRequest() 
at System.Web.UI.Page.ProcessRequestWithNoAssert(HttpContext context) 
at System.Web.UI.Page.ProcessRequest(HttpContext context) 
at ASP.billboard_annual_annualrenewalbillboard_aspx.ProcessRequest(HttpContext context) in c:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\irims\2a438c75\1bfaf28\App_Web_02vxyhx3.4.cs:line 0 
at System.Web.HttpApplication.CallHandlerExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() 
at System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously) 
ERROR - 2015-01-21 12:41:18 – Object reference not set to an instance of an object. 
System.NullReferenceException: Object reference not set to an instance of an object. 
at TransferApplicantUC.Page_Load(Object sender, EventArgs e) in c:\inetpub\wwwroot\irims\Common\TransferApplicantUC.ascx.cs:line 168 
",1/21/15 15:35,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-198,# Billboard - INT - 006 - Search for orphan documents / associate them to correct record,Deliver to Client,Testing Team,10/9/12 14:30,No legacy data was found on DocMan that matched these criteria.,7/13/15 9:42,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1207,Remove all required fields except for Zoning Activity.,Closed,Unassigned,9/18/13 15:02,"To reproduce do the following. 
1. Click Zoning link under View Application 
",7/13/15 9:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1240,"Fee Amount should be formatted as currency. Example: $1,000.00",Closed,Unassigned,9/20/13 13:28,"To reproduce do the following. 
1. Click Search 
2. Click Search button 
3. Click Select link on any record 
4. Click Billboard History under View Application 
",7/13/15 10:18,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-1241,Column data needs to be centered.,Closed,Unassigned,9/20/13 13:33,"To reproduce do the following. 
1. Click Search 
2. Click Search button 
3. Click Select link on any record 
4. Click Billboard History under View Application 
Note: Modified Date, On Hold Date, Off Hold Date, Transfer Type, and Transfer Date need to be centered,.",7/13/15 10:19,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1271,DMClient - New method needed to delete all metadata for the document.,Code Complete,Unassigned,10/21/13 14:09,New method need to delete all the metadata from the selected document. This is for the un-associate feature in the design.,7/7/14 9:34,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1272,"DMClient - new comparison operator needed for ""IS NULL"" operation.",Code Complete,Unassigned,10/21/13 14:12,"DMClient - new comparison operator needed for ""IS NULL"" operation. This is to find all the unassociated documents.",7/7/14 9:28,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1468,"Structure Page, CR-006 Add Abandoned Sign option to Structure Detail",Closed,Unassigned,1/20/15 17:00,"CR-006 says Add Abandoned Sign option to Structure Detail. It is also mentioned on page 42, Section 4.22 of the Functional Design document.",7/13/15 10:04,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-1477,BBD Zoning: Zoning official ext mask not clearing,Closed,Unassigned,1/22/15 15:46,the mask on the extension for the zoning official's info is not clearing when you type a value in the extension field.,7/13/15 9:39,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-1478,Progress Indicator Bar on ODA workflow,Closed,Unassigned,1/27/15 15:10,,7/13/15 10:06,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-388,"Billboard - Signowner status page gives ""System has encountered an error. Please exit the application and try again."" when navigating to it",Closed,Unassigned,11/12/12 14:56,,2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-1,Billboard face height and width must allow decimal digits.,Closed,Mani Radhaji,9/13/11 15:37,"Presently the BB system only allows whole numbers for face height and width values. For example, one can 10 but not 10.2. This must be corrected to allow entries with decimal points.",2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-2,Billboard applicant can be a business or individual and must be definable as such,Closed,Testing Team,9/13/11 15:47,"The current implementation only supports individual applicants. Sometimes, the applicant is a business and the system should allow this scenario.",2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-3,Billboard owner may be a business and must be definable as such.,Closed,Testing Team,9/13/11 15:50,The current system only supports individual owners for billboards. Sometimes billboards are owned by businesses and not individuals. The system must allow the user to define a business as an owner.,2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-4,Billboard property owner may be an individual or a business and must be definable as such,Closed,Testing Team,9/13/11 15:52,The current system only supports individual owners for billboard properties. Sometimes the property is owned by a business and the user must be able to specify this appropriately.,2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-9,Permitting & Billboard must integrate with OpenText DMS.,Closed,Unassigned,9/13/11 16:10,Documents must be upload/downloadable to the OpenText DMS used by ALDOT,2/3/15 15:38,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-10,Billboard system does not always populate CITY_ID in ADM_USER table when defining a new applicant,Closed,Unassigned,9/15/11 12:26,"When a new applicant is defined, CITY_ID in the ADM_USER table is sometimes set to 0 (unknown). Consequently this applicant is no longer visible during applicant searches causing the user to define a new applicant with all the same details for another application resulting in duplicate users within the system.",2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-11,Admin functions that calculate business time elapsed between start and end dates should support NULL values for holiday dates,Closed,Mani Radhaji,9/15/11 22:12,Presently the system obtains holidays from ADMIN.ADM_CALDENDAR.HOLIDAY_DATE column. If this column is set to NULL values then the time calculations are incorrect.,2/3/15 15:38,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-12,Billboard System - Cannot update applicant company information for an existing application,Closed,Unassigned,10/7/11 16:47,"Search and select any permit. 
Click Applicant 
Select Company Name to change to 
Click Save button 
Go to another page 
Go back to Applicant page 

Notice: the Company Name is not saved. 

",2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-14,DREAMDM must provide the ability to store documents.,Closed,Testing Team,10/24/11 2:06,Details can be found in the DREAMDM Business Requirements document in share point.,2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-15,DREAMDM must provide the ability to retrieve documents.,Closed,Testing Team,10/24/11 2:07,Details can be found in the DREAMDM Business Requirements document in share point.,2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-17,DREAMDM must provide the ability to securing documents.,Closed,Testing Team,10/24/11 2:10,Details can be found in the DREAMDM Business Requirements document in share point.,2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-19,DREAMDM must provide the ability to index documents.,Closed,Testing Team,10/24/11 2:11,Details can be found in the DREAMDM Business Requirements document in share point.,2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-20,DREAMDM must provide the ability to search documents.,Closed,Testing Team,10/24/11 2:11,Details can be found in the DREAMDM Business Requirements document in share point.,2/3/15 15:38,ALDOT,,,
Change Request - New Feature,Functionality Incomplete,ALDOT-21,DREAMDM must provide the ability to generate documents.,Closed,Testing Team,10/24/11 2:12,Details can be found in the DREAMDM Business Requirements document in share point.,2/3/15 15:38,ALDOT,,,
Data Configuration,Data Update,ALDOT-22,ALDOT eMaps viewer missing attribute field,Closed,Unassigned,12/27/11 11:02,"We are missing Distance to Nearest Business information. This is coming from the field ""Distance to Business"". Please show this under Business Activity on the Photo/Classification tab.",2/3/15 15:38,ALDOT,,,
